u0	i3	5
u0	i11	5
u0	i16	5
u0	i18	4
u0	i22	3
u0	i28	2
u0	i42	2
u0	i60	3
u0	i61	4
u0	i94	4
u0	i105	5
u0	i106	5
u0	i107	3
u0	i109	4
u0	i110	4
u0	i114	4
u0	i120	5
u0	i122	5
u0	i126	5
u0	i130	3
u0	i136	2
u0	i139	3
u0	i141	3
u0	i176	5
u0	i199	4
u0	i215	5
u0	i217	4
u0	i220	2
u0	i229	5
u0	i242	5
u0	i243	4
u0	i262	4
u0	i268	2
u0	i270	4
u0	i284	4
u0	i292	5
u0	i304	4
u0	i305	4
u0	i309	3
u0	i320	5
u0	i341	5
u0	i347	5
u0	i357	3
u0	i364	2
u0	i374	3
u0	i381	3
u0	i383	4
u0	i385	4
u0	i415	2
u0	i427	3
u0	i428	3
u0	i431	5
u0	i433	3
u0	i440	3
u0	i445	4
u0	i446	3
u0	i447	4
u0	i450	3
u0	i452	4
u0	i482	3
u0	i485	3
u0	i500	4
u0	i510	4
u0	i511	3
u0	i525	2
u0	i530	2
u0	i536	4
u0	i537	3
u0	i554	5
u0	i599	3
u0	i604	3
u0	i611	4
u0	i626	4
u0	i638	4
u0	i649	3
u0	i652	2
u0	i662	3
u0	i665	4
u0	i669	4
u0	i680	4
u0	i682	5
u0	i698	3
u0	i700	2
u0	i704	4
u0	i708	3
u0	i711	3
u0	i715	4
u0	i719	2
u0	i723	4
u0	i725	3
u0	i726	5
u0	i744	4
u0	i764	4
u0	i773	4
u0	i781	5
u0	i796	4
u0	i798	4
u0	i801	3
u0	i803	2
u0	i824	5
u0	i828	4
u0	i836	3
u0	i850	2
u0	i857	4
u0	i861	3
u0	i865	5
u0	i876	4
u0	i884	4
u0	i902	4
u0	i942	3
u0	i953	4
u0	i976	5
u0	i1003	5
u0	i1014	4
u0	i1023	3
u0	i1025	4
u0	i1035	4
u0	i1036	5
u0	i1046	3
u0	i1062	5
u0	i1074	4
u0	i1084	4
u0	i1085	4
u0	i1086	1
u0	i1089	5
u0	i1117	3
u0	i1122	2
u0	i1124	5
u0	i1138	3
u0	i1153	4
u0	i1166	4
u0	i1168	4
u0	i1181	5
u0	i1192	4
u1	i2	4
u1	i29	3
u1	i34	4
u1	i44	3
u1	i67	5
u1	i69	5
u1	i70	4
u1	i86	4
u1	i88	3
u1	i109	5
u1	i142	5
u1	i143	4
u1	i158	3
u1	i179	4
u1	i186	3
u1	i192	4
u1	i196	3
u1	i199	3
u1	i201	3
u1	i207	3
u1	i210	5
u1	i223	3
u1	i224	3
u1	i227	3
u1	i238	3
u1	i248	4
u1	i272	4
u1	i281	4
u1	i284	3
u1	i307	2
u1	i308	5
u1	i325	4
u1	i343	3
u1	i350	3
u1	i363	3
u1	i370	5
u1	i371	3
u1	i372	4
u1	i377	2
u1	i385	3
u1	i387	3
u1	i392	3
u1	i403	5
u1	i411	4
u1	i430	3
u1	i431	4
u1	i438	3
u1	i446	3
u1	i451	4
u1	i458	5
u1	i465	5
u1	i473	4
u1	i477	3
u1	i491	4
u1	i494	5
u1	i496	2
u1	i502	4
u1	i508	5
u1	i510	5
u1	i513	5
u1	i514	5
u1	i515	5
u1	i521	3
u1	i526	5
u1	i529	5
u1	i535	4
u1	i539	3
u1	i545	5
u1	i555	3
u1	i559	5
u1	i576	3
u1	i578	2
u1	i582	3
u1	i587	3
u1	i596	2
u1	i598	5
u1	i600	5
u1	i618	5
u1	i635	3
u1	i647	4
u1	i649	2
u1	i650	3
u1	i651	5
u1	i660	3
u1	i665	3
u1	i680	4
u1	i683	3
u1	i684	4
u1	i687	3
u1	i689	4
u1	i692	2
u1	i702	3
u1	i705	4
u1	i708	4
u1	i709	3
u1	i717	5
u1	i725	4
u1	i732	4
u1	i756	3
u1	i767	3
u1	i777	4
u1	i786	4
u1	i792	3
u1	i794	4
u1	i798	4
u1	i810	3
u1	i825	3
u1	i863	4
u1	i866	4
u1	i887	3
u1	i892	5
u1	i893	4
u1	i900	4
u1	i901	4
u1	i909	4
u1	i930	4
u1	i933	2
u1	i954	4
u1	i967	3
u1	i971	3
u1	i972	5
u1	i973	3
u1	i977	5
u1	i978	4
u1	i991	5
u1	i1003	5
u1	i1010	5
u1	i1012	4
u1	i1031	5
u1	i1051	3
u1	i1073	5
u1	i1078	3
u1	i1084	3
u1	i1089	4
u1	i1097	5
u1	i1107	4
u1	i1117	4
u1	i1124	5
u1	i1128	5
u1	i1136	5
u1	i1140	3
u1	i1145	4
u1	i1147	5
u1	i1149	5
u1	i1159	5
u1	i1168	5
u1	i1181	4
u2	i1	3
u2	i16	3
u2	i37	4
u2	i46	4
u2	i55	4
